,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,Okato,32,NZ,1559782306,56,-39.19,173.88,59.0,7.0
268,Igrim,23,RU,1559782307,97,63.19,64.42,36.95,5.73
269,Touros,20,BR,1559782308,88,-5.2,-35.46,75.2,3.36
270,Pokhara,13,NP,1559782309,63,28.21,83.99,56.57,1.9
271,Robertsport,99,LR,1559782311,90,6.75,-11.37,77.27,3.53
272,Shahrud,79,IR,1559782312,54,36.42,54.97,51.71,1.81
273,Sabang,49,PH,1559782313,73,13.72,123.58,84.47,8.25
274,Goderich,100,CA,1559782314,98,43.74,-81.71,61.0,5.01
275,Laguna,5,MX,1559782316,51,27.52,-110.01,86.0,8.05
276,Dicabisagan,81,PH,1559782317,68,17.08,122.42,85.37,2.3
277,Fairbanks,75,US,1559782202,29,64.84,-147.72,72.0,4.7
278,Paso de Carrasco,0,UY,1559782186,72,-34.86,-56.05,61.0,12.75
279,Vestmanna,89,FO,1559782320,93,62.16,-7.17,44.6,11.41
280,Saint-Ambroise,0,FR,1559782322,93,47.25,-0.65,53.01,6.73
281,San Patricio,0,PY,1559782323,86,-26.98,-56.83,58.91,7.58
282,Vranov,0,CZ,1559782324,72,49.76,13.04,68.0,2.24
283,Shache,100,CN,1559782325,75,38.42,77.24,77.0,10.36
284,Palmer,75,AU,1559782065,62,-34.85,139.16,57.0,3.36
285,Port Hedland,0,AU,1559782328,23,-20.31,118.58,62.6,16.11
286,Cabo San Lucas,5,MX,1559782083,64,22.89,-109.91,82.99,16.11
287,Ichchapuram,97,IN,1559782330,85,19.11,84.69,81.77,11.99
288,Xining,18,CN,1559782331,59,36.62,101.77,51.53,1.36
289,Saldanha,13,PT,1559782332,74,41.42,-6.55,45.59,2.89
290,Registro,59,BR,1559782334,97,-24.5,-47.84,59.81,1.1
291,Maniitsoq,99,GL,1559782335,42,65.42,-52.9,51.53,5.61
292,Malindi,48,KE,1559782336,79,-3.22,40.12,75.47,9.33
293,Hasaki,75,JP,1559782338,69,35.73,140.83,81.0,3.36
294,Atasu,4,KZ,1559782339,62,48.68,71.64,49.91,8.95
295,Dunedin,89,NZ,1559782063,50,-45.87,170.5,53.01,4.0
296,Praxedis Guerrero,20,MX,1559782341,14,31.37,-106.02,89.6,11.41
297,Xingcheng,100,CN,1559782342,86,40.62,120.71,64.13,4.03
298,Potosi,0,BO,1559782344,21,-19.59,-65.75,42.53,3.87
299,Oranjemund,48,ZA,1559782345,85,-28.55,16.43,55.85,12.21
300,Nehe,33,CN,1559782346,55,48.48,124.88,65.57,3.67
301,Acajutla,99,SV,1559782347,91,13.59,-89.83,78.01,5.23
302,Klyuchi,35,RU,1559782348,67,52.25,79.17,59.27,10.25
303,Assiniboia,34,CA,1559782151,23,49.63,-105.99,75.47,8.21
304,Pahalgam,29,IN,1559782351,54,34.03,75.33,51.53,6.17
305,Puerto Carreno,40,CO,1559782163,94,6.19,-67.49,77.0,1.9
306,Bure,91,NG,1559782353,59,10.52,10.33,81.95,6.8
307,Rio Tuba,79,PH,1559782355,72,8.51,117.43,85.37,9.57
308,Saryozek,100,KZ,1559782158,83,44.36,77.98,61.79,9.89
309,Linxia,81,CN,1559782357,47,35.6,103.21,59.45,3.65
310,Thanh Hoa,75,VN,1559782358,100,10.21,106.33,80.6,2.24
311,Dingle,92,PH,1559782359,62,11.0,122.67,85.01,10.16
312,Sorong,86,ID,1559782361,75,-0.86,131.25,81.95,3.94
313,Jiexiu,0,CN,1559782365,62,37.02,111.92,63.95,4.88
314,Codrington,3,AU,1559782366,55,-28.95,153.24,64.0,10.29
315,Palauig,100,PH,1559782367,65,15.44,119.9,86.99,3.49
316,Gunnedah,0,AU,1559782368,71,-30.98,150.25,50.0,2.24
317,Soe,0,EE,1559782369,87,57.91,26.05,64.0,2.24
318,Tazovskiy,88,RU,1559782371,81,67.47,78.7,42.71,6.89
319,Tual,97,ID,1559782372,81,-5.67,132.75,82.31,21.99
320,Wukari,100,NG,1559782373,83,7.87,9.78,77.81,11.27
321,Sribne,59,UA,1559782374,90,50.66,32.92,59.63,8.28
322,Inirida,50,CO,1559782376,91,3.87,-67.92,76.55,1.3
323,Constitucion,75,MX,1559782377,10,23.99,-104.67,86.0,17.22
324,Zabaykalsk,27,CN,1559782378,54,49.64,117.33,55.13,2.73
325,Blackburn,100,GB,1559782379,93,53.75,-2.48,50.0,2.24
326,Paciran,51,ID,1559782380,77,-6.9,112.33,76.91,5.1
327,Teguldet,60,RU,1559782382,61,57.31,88.17,58.73,5.06
328,Pecos,75,US,1559782383,44,31.42,-103.49,80.6,4.7
329,Kruisfontein,66,ZA,1559782384,86,-34.0,24.73,51.53,13.47
330,Zarubino,96,RU,1559782385,64,42.65,131.06,68.27,3.65
331,Varkaus,0,FI,1559782386,100,62.32,27.87,60.01,1.12
332,Mufulira,8,ZM,1559782388,84,-12.55,28.24,54.23,4.09
333,Praia da Vitoria,75,PT,1559782389,82,38.73,-27.07,66.2,20.8
334,Vila,0,IT,1559782391,67,45.18,8.4,70.0,4.7
335,Shiraz,0,IR,1559782280,40,29.61,52.54,68.0,4.99
336,Svetlogorsk,40,RU,1559782393,61,53.14,59.15,48.2,6.71
337,Imamoglu,0,TR,1559782394,100,37.26,35.66,73.99,6.93
338,Hamilton,90,CA,1559782315,93,43.26,-79.87,64.99,5.82
339,Tucuman,0,PE,1559782397,51,-17.17,-70.89,58.91,1.97
340,Saint-Francois,0,FR,1559782398,93,46.42,3.91,48.99,3.04
341,Beyneu,0,KZ,1559782399,29,45.32,55.19,69.35,9.4
342,Waitati,89,NZ,1559782204,49,-45.75,170.57,55.0,5.01
343,Port Lincoln,0,AU,1559782402,62,-34.72,135.86,55.31,6.85
344,Hay River,75,CA,1559782403,57,60.82,-115.79,48.2,8.05
345,Tadine,100,NC,1559782404,74,-21.55,167.88,72.95,19.08
346,Te Anau,96,NZ,1559782405,92,-45.41,167.72,38.21,5.14
347,Coahuayana,97,MX,1559782406,50,18.62,-100.35,87.89,2.75
348,Itarema,48,BR,1559782408,83,-2.92,-39.92,78.17,7.14
349,Kovernino,57,RU,1559782409,89,57.13,43.81,56.39,5.75
350,Florianopolis,40,BR,1559782148,93,-27.6,-48.55,64.0,2.24
351,La Ronge,40,CA,1559782411,39,55.1,-105.3,66.2,6.93
352,Mbuji-Mayi,2,CD,1559782412,42,-6.13,23.6,67.91,2.75
353,Bayir,0,TR,1559782414,82,37.27,28.22,59.0,4.7
354,Kaeo,3,NZ,1559782415,97,-35.1,173.78,61.0,16.02
355,Panguna,100,PG,1559782416,72,-6.32,155.48,86.27,10.25
356,Maldonado,0,UY,1559782417,82,-34.91,-54.96,57.2,3.36
357,Russell,0,AR,1559782419,76,-33.01,-68.8,53.6,3.36
358,Beringovskiy,96,RU,1559782420,61,63.05,179.32,53.51,8.23
359,Cuenca,5,ES,1559782140,44,40.07,-2.13,50.0,4.97
360,Phan Thiet,96,VN,1559782399,71,10.93,108.1,81.59,5.57
361,Salinas,1,US,1559782384,53,36.67,-121.66,84.0,18.34
362,Lufilufi,20,WS,1559782425,63,-13.87,-171.6,91.4,18.34
363,Goundi,98,TD,1559782426,54,9.36,17.37,85.19,8.21
364,Shaoguan,86,CN,1559782427,84,24.81,113.59,80.87,4.27
365,Matagami,93,NG,1559782428,96,9.67,8.4,70.79,6.71
366,Kudahuvadhoo,98,MV,1559782424,79,2.67,72.89,83.75,15.64
367,Boa Vista,40,BR,1559782248,74,2.82,-60.67,82.4,2.24
368,Podosinovets,100,RU,1559782432,96,60.28,47.06,56.21,6.35
369,Sauteurs,40,GD,1559782433,78,12.22,-61.63,82.4,14.99
370,Iroquois Falls,40,CA,1559782383,44,48.76,-80.69,59.0,9.17
371,Partyzany,100,UA,1559782436,86,45.14,35.15,67.19,8.01
372,Oksfjord,46,NO,1559782437,71,70.24,22.35,50.0,13.87
373,Simpang,75,MY,1559782438,94,4.82,100.71,78.8,3.36
374,Manokwari,32,ID,1559782146,66,-0.87,134.08,80.51,4.18
375,Bilma,62,NE,1559782441,16,18.69,12.92,93.83,9.53
376,Pevek,0,RU,1559782442,82,69.7,170.27,33.71,3.83
377,Hong Gai,75,VN,1559782443,89,20.96,107.09,86.0,9.17
378,Iqaluit,90,CA,1559782444,75,63.75,-68.52,41.0,8.05
379,Yarim,1,YE,1559782445,64,14.3,44.38,71.69,2.71
380,Saint-Louis,90,CH,1559782447,82,47.59,7.56,62.01,9.17
381,Camacha,20,PT,1559782448,63,33.08,-16.33,66.2,9.17
382,Flinders,0,AU,1559782449,47,-34.58,150.85,61.0,9.17
383,Keti Bandar,0,PK,1559782450,87,24.14,67.45,84.47,14.76
384,Bima,73,ID,1559782452,85,-8.45,118.73,74.39,4.68
385,Bluffton,1,US,1559782411,78,40.74,-85.17,77.0,7.18
386,Cidreira,9,BR,1559782454,77,-30.17,-50.22,64.85,14.16
387,Stabat,40,ID,1559782455,100,3.76,98.46,77.0,8.05
388,Port Macquarie,1,AU,1559782456,58,-31.43,152.91,66.99,9.17
389,Itoman,75,JP,1559782457,79,26.12,127.67,86.0,10.29
390,Axim,100,GH,1559782459,84,4.87,-2.24,79.25,9.42
391,Poum,23,MK,1559782460,96,41.28,20.71,50.09,2.91
392,Baherden,45,TM,1559782461,39,38.44,57.43,70.97,2.19
393,Villa Union,0,BO,1559782462,73,-10.79,-65.46,74.03,2.86
394,Edd,81,ER,1559782463,49,13.93,41.69,88.43,3.09
395,Tabou,85,CI,1559782465,87,4.42,-7.36,75.83,2.91
396,Weirton,75,US,1559782466,94,40.42,-80.59,70.0,4.7
397,Little Elm,75,US,1559782467,74,33.16,-96.94,81.0,11.41
398,Burnie,100,AU,1559782468,65,-41.05,145.91,54.0,5.99
399,Tessalit,12,ML,1559782469,9,20.2,1.01,93.29,6.78
400,Brewster,90,US,1559782471,93,41.76,-70.08,66.99,11.41
401,Verkhnyaya Inta,57,RU,1559782472,69,65.99,60.32,46.85,5.61
402,Portland,75,US,1559782262,59,45.52,-122.67,66.99,5.39
403,Rawson,0,AR,1559782474,37,-43.3,-65.11,54.95,10.38
404,Novovasylivka,3,UA,1559782476,69,48.2,37.04,61.07,9.78
405,Aguimes,75,ES,1559782477,68,27.91,-15.45,68.0,20.8
406,Honiara,40,SB,1559782478,79,-9.43,159.96,84.2,3.36
407,Ahipara,52,NZ,1559782479,97,-35.17,173.16,61.0,25.08
408,Brzesko,0,PL,1559782480,93,49.97,20.61,61.0,5.82
409,Awjilah,0,LY,1559782482,36,29.14,21.3,78.17,8.97
410,Longkou,100,CN,1559782483,85,37.64,120.47,66.65,11.5
411,Saint-Pierre,75,FR,1559782484,93,48.95,4.24,51.8,10.29
412,Port Blair,100,IN,1559782256,80,11.67,92.75,85.01,12.39
413,Kampil,0,IN,1559782487,25,27.61,79.28,94.73,6.91
414,Mujiayingzi,100,CN,1559782488,57,42.12,118.78,65.21,5.26
415,Alyangula,75,AU,1559782489,56,-13.85,136.42,73.4,12.75
416,Kamaishi,75,JP,1559782490,93,39.28,141.86,66.2,1.12
417,Hoquiam,90,US,1559782218,82,46.98,-123.89,60.8,11.41
418,Mocuba,0,MZ,1559782492,93,-16.84,36.99,59.81,1.61
419,Bambanglipuro,67,ID,1559782493,85,-7.95,110.28,78.35,6.76
420,Bud,96,NO,1559782495,93,62.91,6.91,53.6,4.7
421,Dekar,0,BW,1559782496,38,-21.53,21.93,51.17,2.55
422,Gold Coast,100,AU,1559782497,55,-28.0,153.41,68.0,11.41
423,Vangaindrano,54,MG,1559782498,94,-23.35,47.6,65.57,2.39
424,Calabazar de Sagua,40,CU,1559782499,65,22.65,-79.9,82.4,10.29
425,Yulara,0,AU,1559782501,50,-25.24,130.99,48.2,21.92
426,Babakan,52,ID,1559782502,90,-6.87,108.72,70.97,4.56
427,Diego de Almagro,61,CL,1559782503,78,-26.39,-70.05,56.03,1.36
428,Yar-Sale,100,RU,1559782504,94,66.83,70.83,34.07,11.14
429,Saint Anthony,1,US,1559782506,31,43.97,-111.68,77.0,13.87
430,Palembang,40,ID,1559782224,88,-2.99,104.76,80.6,5.82
431,Henties Bay,0,NA,1559782508,97,-22.12,14.28,54.0,3.0
432,Bayan,79,MN,1559782509,52,47.25,107.54,52.79,4.76
433,Anloga,40,GH,1559782510,88,5.79,0.9,80.6,13.87
434,Shaoyang,12,CN,1559782511,82,27.23,111.45,77.45,5.84
435,Jardim de Piranhas,60,BR,1559782513,70,-6.38,-37.35,78.89,15.64
436,Finschhafen,95,PG,1559782514,93,-6.6,147.85,66.29,2.44
437,Coquimbo,0,CL,1559782515,87,-29.95,-71.34,60.01,6.93
438,Vao,0,EE,1559782516,82,59.1,26.19,63.41,4.32
439,Suleja,40,NG,1559782517,83,9.18,7.18,78.8,1.12
440,Namatanai,63,PG,1559782519,82,-3.66,152.44,81.77,8.43
441,Boende,100,CD,1559782520,64,-0.28,20.88,71.15,1.86
442,Kawalu,47,ID,1559782521,88,-7.38,108.21,70.61,2.68
443,Senekal,5,ZA,1559782522,46,-28.32,27.62,44.33,4.07
444,Inhambane,0,MZ,1559782490,86,-23.87,35.38,61.43,6.6
445,La Union,70,GT,1559782525,1,14.97,-89.29,72.0,2.01
446,Puri,20,ID,1559782526,88,-7.54,112.45,78.8,4.7
447,Wanning,28,AT,1559782527,72,48.64,13.53,71.01,8.05
448,La Orilla,99,MX,1559782528,70,18.0,-102.23,83.21,7.43
449,Sao Raimundo das Mangabeiras,14,BR,1559782443,56,-7.02,-45.48,76.19,3.18
450,Kharan,0,PK,1559782531,18,28.58,65.42,83.03,3.0
451,Dakar,40,SN,1559782271,83,14.69,-17.45,75.2,6.93
452,Yelizovo,75,RU,1559782533,87,53.19,158.38,50.0,6.71
453,Komsomolskiy,100,RU,1559782534,87,67.55,63.78,29.21,7.02
454,Maracacume,100,BR,1559782536,97,-2.04,-45.96,74.21,2.37
455,Luderitz,22,NA,1559782537,76,-26.65,15.16,55.4,13.87
456,Aklavik,40,CA,1559782538,29,68.22,-135.01,62.6,12.75
457,Padang,20,ID,1559782539,94,-0.92,100.36,77.0,3.36
458,Kahului,40,US,1559782388,52,20.89,-156.47,89.6,17.22
459,Oranjestad,20,AW,1559782393,74,12.52,-70.03,84.2,19.46
460,Medea,40,DZ,1559782546,68,36.27,2.77,64.4,2.24
461,Paita,39,PE,1559782547,92,-5.09,-81.11,67.01,16.06
462,Medicine Hat,75,CA,1559782399,16,50.04,-110.68,79.0,16.11
463,Zheleznodorozhnyy,0,RU,1559782549,82,55.75,38.0,64.0,2.24
464,Petropavlovsk-Kamchatskiy,75,RU,1559782550,87,53.05,158.65,50.0,6.71
465,Chara,20,GR,1559782551,87,39.42,22.43,60.8,3.76
466,Sawakin,11,SD,1559782553,19,19.1,37.33,89.87,4.14
467,Adrar,94,DZ,1559782554,15,27.87,-0.29,87.8,5.82
468,Batemans Bay,0,AU,1559782555,73,-35.71,150.18,62.01,1.99
469,Keetmanshoop,62,NA,1559782556,50,-26.57,18.15,55.4,4.23
470,Dzhebariki-Khaya,100,RU,1559782557,50,62.22,135.8,68.99,5.12
471,Plettenberg Bay,91,ZA,1559782559,91,-34.05,23.37,50.27,8.86
472,Toamasina,40,MG,1559782560,88,-18.17,49.38,66.2,6.93
473,Viedma,58,AR,1559782561,37,-40.81,-62.99,57.11,12.3
474,Shwebo,98,MM,1559782562,67,22.57,95.7,84.29,12.91
475,Talaja,4,IN,1559782563,44,21.35,72.04,90.95,11.05
476,Oga,100,NG,1559782565,92,8.18,5.65,73.85,7.9
477,Rocky Mountain House,91,CA,1559782566,61,52.38,-114.92,59.63,12.68
478,Leshukonskoye,78,RU,1559782567,83,64.9,45.76,43.79,9.04
479,Savinka,1,RU,1559782568,68,50.08,47.1,59.81,4.79
480,Zyryanka,69,RU,1559782569,47,65.73,150.89,52.43,9.64
481,Kaliua,26,TZ,1559782571,67,-5.06,31.79,63.23,3.67
482,Puerto Baquerizo Moreno,0,EC,1559782572,83,-0.9,-89.6,75.2,10.29
483,General Roca,40,AR,1559782573,71,-39.03,-67.58,50.0,3.36
484,Aloleng,100,PH,1559782574,67,16.13,119.78,86.45,3.96
485,Jardim,0,BR,1559782576,77,-21.48,-56.15,59.63,6.46
486,Kenora,75,CA,1559782577,49,49.76,-94.48,69.8,8.05
487,Sandwick,100,GB,1559782578,93,54.57,-2.89,53.01,4.7
488,Hualmay,53,PE,1559782579,88,-11.1,-77.61,62.69,15.23
489,Clinton,1,US,1559782581,65,41.84,-90.19,84.2,3.36
490,Mastic Beach,90,US,1559782582,88,40.77,-72.85,71.01,16.11
491,Ukiah,1,US,1559782348,27,39.15,-123.21,87.01,9.17
492,Makakilo City,90,US,1559782508,62,21.35,-158.09,87.8,8.05
493,Fort Walton Beach,75,US,1559782483,74,30.41,-86.62,84.2,5.84
494,Samarai,99,PG,1559782587,94,-10.62,150.67,76.55,8.23
495,Makungu,0,TZ,1559782588,97,-8.74,35.29,50.09,2.93
496,Riyadh,0,SA,1559782522,15,24.63,46.72,80.6,5.82
497,Zhangye,23,CN,1559782575,27,38.94,100.46,67.01,2.93
498,Mount Gambier,75,AU,1559782425,100,-37.83,140.78,51.8,8.05
499,Port Augusta,0,AU,1559782593,71,-32.49,137.76,51.8,11.41
500,Sao Joao da Barra,9,BR,1559782594,91,-21.64,-41.05,61.43,3.83
501,Yongzhou,93,CN,1559782595,71,26.46,111.6,82.13,11.03
502,Coria,0,ES,1559782596,62,39.98,-6.54,50.63,3.58
503,Nantucket,90,US,1559782536,88,41.28,-70.1,64.99,10.29
504,Nata,0,CY,1559782599,59,34.78,32.57,75.99,1.12
505,Broken Hill,90,AU,1559782600,65,-31.97,141.45,46.4,18.34
506,Jacareacanga,50,BR,1559782601,71,-6.22,-57.76,78.17,1.45
507,Paamiut,100,GL,1559782602,72,61.99,-49.67,40.37,24.7
508,Ambulu,59,ID,1559782603,82,-8.35,113.61,77.81,5.99
509,Sfantu Gheorghe,90,RO,1559782605,100,44.65,26.83,66.0,5.82
510,Gewane,80,ET,1559782606,32,10.16,40.66,87.53,5.75
511,Mata,40,CU,1559782607,65,22.63,-79.93,82.4,10.29
512,Rumoi,75,JP,1559782608,82,43.93,141.67,57.2,3.36
513,Lubuagan,80,PH,1559782610,71,17.35,121.18,75.83,1.79
514,Evensk,28,RU,1559782611,50,61.92,159.24,56.57,6.15
515,Parnamirim,20,BR,1559782612,78,-5.92,-35.27,77.0,5.82
516,Wagar,100,US,1559782613,90,31.44,-87.99,79.0,3.2
517,Lang Son,98,VN,1559782459,89,21.83,106.73,79.07,7.87
518,Penzance,20,GB,1559782615,87,50.12,-5.53,53.01,6.93
519,Tacna,90,PE,1559782382,82,-18.01,-70.25,64.4,6.93
520,Hibbing,90,US,1559782618,87,47.43,-92.94,66.2,2.08
521,San Rafael,2,AR,1559782620,52,-34.61,-68.33,51.53,9.35
522,Newport,40,GB,1559782621,93,51.59,-3.0,53.01,8.05
523,Taoudenni,0,ML,1559782622,11,22.68,-3.98,97.25,7.61
524,Kuito,3,AO,1559782624,52,-12.38,16.94,51.35,3.49
525,Shu,100,KZ,1559782625,78,43.6,73.76,61.79,11.77
526,Kaveripattinam,99,IN,1559782626,76,12.42,78.22,76.55,7.87
527,Providencia,75,CO,1559782627,87,1.24,-77.6,51.8,2.08
528,Kingman,1,US,1559782478,13,35.19,-114.05,105.8,8.03
529,San Cristobal,40,EC,1559782630,77,-0.39,-78.55,60.8,5.82
530,Enterprise,1,US,1559782578,78,31.32,-85.86,84.2,6.51
531,Zhigalovo,0,RU,1559782633,47,54.81,105.15,56.93,1.95
532,Duliagaon,75,IN,1559782634,88,27.37,95.32,80.6,4.7
533,Brae,21,GB,1559782635,87,60.4,-1.35,48.2,5.82
